num_orders,diff_estimation_and_delivery
4626,-8
1731,-2
7126,-13
3625,-5
3903,-15
5345,-14
3412,-16
2754,0
2712,-18
4619,-10
1845,-21
4828,-7
1917,-3
5963,-12
4837,-6
545,2
2960,-19
2965,NULL
4646,-9
453,4
793,-25
4556,-11
2219,-4
2810,-20
336,8
256,-34
3128,-17
1067,-23
492,-28
67,22
500,3
161,12
18,32
913,-24
816,-26
304,-30
1550,-1
227,9
37,23
419,6
1263,-22
77,-40
825,1
377,-29
53,24
247,-33
207,10
753,-27
5,60
33,26
96,-37
261,-32
168,-35
483,7
181,11
2,74
447,5
14,41
277,-31
80,21
26,31
56,-42
89,17
196,13
159,15
171,14
19,-49
58,-38
11,-55
92,-36
98,16
40,-43
1,123
4,52
7,45
83,-41
47,28
34,-44
77,19
77,18
40,-45
26,-46
39,25
1,-146
25,35
22,-48
4,54
39,29
2,81
64,-39
3,-68
89,20
1,121
5,104
10,40
31,-47
2,-63
11,34
10,38
2,161
40,27
1,105
11,49
15,30
20,33
1,110
7,-54
3,-60
1,-83
10,-52
1,188
8,48
2,68
2,-59
6,46
16,36
1,166
1,94
7,50
1,152
1,159
2,70
10,42
1,75
2,132
2,155
15,-51
1,167
9,37
1,137
1,83
4,56
3,-77
1,67
1,-82
2,-74
1,79
8,-50
1,119
6,-57
6,39
1,-108
1,59
1,-58
1,144
2,-70
1,165
1,106
8,43
1,175
1,72
2,78
1,112
2,134
8,-53
1,97
2,63
3,65
4,55
1,85
1,143
2,66
2,-65
4,96
4,58
1,82
2,-72
1,111
5,51
1,-64
2,53
1,91
3,44
6,47
2,-61
1,80
1,-62
1,138
2,73
1,69
2,77
2,109
1,162
1,-123
1,-67
2,57
1,-139
1,181
1,126
1,-76
1,100
2,-56
2,153
1,76
1,-75
1,-66
1,88
1,-134
